"true_height","sun_zenith","sun_azimuth","displacement_px","window_px","recovered","score","abs_error_m","fixed96_recovered","fixed96_error_m","fixed96_truncated"
600,25,45,9,96,600,1,0,600,0,TRUE
1200,25,45,19,96,1150,1,50,1150,50,TRUE
2400,25,45,37,112,2350,1,50,2350,50,TRUE
4800,25,45,75,224,4800,1,0,4550,250,TRUE
600,45,45,20,96,600,1,0,600,0,TRUE
1200,45,45,40,120,1200,1,0,1200,0,TRUE
2400,45,45,80,240,2400,1,0,2300,100,TRUE
4800,45,45,160,480,4800,1,0,200,4600,TRUE
600,65,45,43,129,600,1,0,600,0,TRUE
1200,65,45,86,258,1200,1,0,900,300,TRUE
2400,65,45,172,512,2400,1,0,200,2200,TRUE
4800,65,45,343,512,4800,1,0,200,4600,TRUE
600,25,145,9,96,600,1,0,600,0,TRUE
1200,25,145,19,96,1200,1,0,1200,0,TRUE
2400,25,145,37,112,2400,1,0,2400,0,TRUE
4800,25,145,75,224,4800,1,0,4800,0,TRUE
600,45,145,20,96,600,1,0,600,0,TRUE
1200,45,145,40,120,1200,1,0,1200,0,TRUE
2400,45,145,80,240,2400,1,0,2400,0,TRUE
4800,45,145,160,480,4800,1,0,200,4600,TRUE
600,65,145,43,129,600,1,0,600,0,TRUE
1200,65,145,86,258,1200,1,0,1200,0,TRUE
2400,65,145,172,512,2400,1,0,200,2200,TRUE
4800,65,145,343,512,4800,1,0,200,4600,TRUE
600,25,250,9,96,600,1,0,600,0,TRUE
1200,25,250,19,96,1200,1,0,1200,0,TRUE
2400,25,250,37,112,2400,1,0,2400,0,TRUE
4800,25,250,75,224,4800,1,0,4800,0,TRUE
600,45,250,20,96,600,1,0,600,0,TRUE
1200,45,250,40,120,1200,1,0,1200,0,TRUE
2400,45,250,80,240,2400,1,0,2400,0,TRUE
4800,45,250,160,480,4800,1,0,200,4600,TRUE
600,65,250,43,129,600,1,0,600,0,TRUE
1200,65,250,86,258,1200,1,0,1200,0,TRUE
2400,65,250,172,512,2400,1,0,200,2200,TRUE
4800,65,250,343,512,4800,1,0,200,4600,TRUE
