"cloud_fraction","persistence","n_usable_median","sos_mae_days","sos_iqr_days","sos_bias_days","eos_mae_days","los_mae_days","failure_rate"
0.2,0,73,1,1,0,1,1,0
0.2,0.35,73,1,1,0,1,1,0
0.2,0.7,73,1,1,0,1,1,0
0.4,0,44,1,1,1,1,2,0.002
0.4,0.35,44,1,1,0,1,2,0.005
0.4,0.7,45,1,2,0,1,2,0.035
0.5,0,37,1,2,0,1,2,0.002
0.5,0.35,37,1,2,1,1,2,0.035
0.5,0.7,36,1,3,0,1,3,0.082
0.6,0,29,1,3,1,1,2,0.03
0.6,0.35,30,1,3,0,1,2,0.045
0.6,0.7,28,2,3,1,2,4,0.192
0.7,0,22,1,3,1,2,2.5,0.105
0.7,0.35,22,2,3,0,2,3,0.112
0.7,0.7,21,3,5,1,3,8,0.29
0.8,0,15,2,3,1,2,4,0.21
0.8,0.35,14,3,6,1,3,7,0.335
0.8,0.7,14,8,15,1,4,13.5,0.455
0.9,0,7,5,12,1,4,10,0.605
0.9,0.35,7,8,15,1,7,16.5,0.688
0.9,0.7,6,13,26,-1,11,32,0.82
0.95,0,4,3,7,-1,4,12,0.938
0.95,0.35,3,5,15,1,9.5,16.5,0.912
0.95,0.7,2,18,20,2,19,45,0.958
