"period","n_platforms","combined_obs","effective_revisit_days"
2013,0.726027397260274,16.5625,22.0528301886792
2014,1,22.8125,16.0109589041096
2015,1.52602739726027,42.0125,8.69384111871467
2016,2,59.475,6.14123581336696
2017,2.82191780821918,89.3125,4.08957312806158
2018,3,95.8125,3.81213307240705
2019,3,95.8125,3.81213307240705
2020,3,96.075,3.80171740827479
2021,3.16712328767123,99.625,3.66624843161857
2022,4,118.625,3.07903055848261
2023,4,118.625,3.07903055848261
2024,4.3224043715847,130.75,2.79349904397706
2025,5,155.125,2.35455278001612
2026,5,155.125,2.35455278001612
